104.17.132.208:2083#CF优选IP 11ms
104.17.52.110:2083#CF优选IP 24ms
104.18.93.225:2083#CF优选IP 24ms
104.18.83.86:2083#CF优选IP 25ms
104.19.159.46:2083#CF优选IP 27ms
104.16.248.236:2083#CF优选IP 28ms
104.17.158.36:2083#CF优选IP 28ms
104.17.158.187:2083#CF优选IP 28ms
104.17.175.249:2083#CF优选IP 29ms
104.16.240.126:2083#CF优选IP 32ms
104.18.179.84:2083#CF优选IP 35ms
104.17.219.111:2083#CF优选IP 36ms
104.17.63.187:2083#CF优选IP 37ms
104.16.152.130:2083#CF优选IP 37ms
104.17.61.250:2083#CF优选IP 40ms
104.17.152.246:2083#CF优选IP 43ms
104.17.26.155:2083#CF优选IP 44ms
104.17.210.26:2083#CF优选IP 44ms
104.18.35.141:2083#CF优选IP 44ms
104.17.148.114:2083#CF优选IP 45ms
104.18.42.176:2083#CF优选IP 45ms
104.17.209.217:2083#CF优选IP 46ms
104.16.150.177:2083#CF优选IP 47ms
104.19.149.163:2083#CF优选IP 47ms
104.17.21.202:2083#CF优选IP 47ms
104.16.248.2:2083#CF优选IP 47ms
104.17.57.13:2083#CF优选IP 47ms
104.18.33.68:2083#CF优选IP 48ms
104.19.41.6:2083#CF优选IP 49ms
104.17.62.242:2083#CF优选IP 49ms
104.19.152.232:2083#CF优选IP 49ms
104.17.153.252:2083#CF优选IP 50ms
104.17.107.247:2083#CF优选IP 50ms
104.17.123.253:2083#CF优选IP 50ms
104.16.255.81:2083#CF优选IP 50ms
104.19.36.241:2083#CF优选IP 50ms
104.17.179.208:2083#CF优选IP 51ms
104.17.178.27:2083#CF优选IP 51ms
104.16.247.150:2083#CF优选IP 51ms
104.17.27.79:2083#CF优选IP 51ms
104.16.152.49:2083#CF优选IP 51ms
104.19.55.249:2083#CF优选IP 51ms
104.19.58.217:2083#CF优选IP 52ms
104.17.149.94:2083#CF优选IP 52ms
104.16.250.171:2083#CF优选IP 52ms
104.19.43.202:2083#CF优选IP 52ms
104.19.63.148:2083#CF优选IP 52ms
104.16.255.136:2083#CF优选IP 52ms
104.17.19.139:2083#CF优选IP 52ms
104.18.33.221:2083#CF优选IP 52ms
104.18.64.243:2083#CF优选IP 52ms
104.17.120.180:2083#CF优选IP 52ms
104.17.180.128:2083#CF优选IP 53ms
104.19.212.131:2083#CF优选IP 53ms
104.17.61.138:2083#CF优选IP 54ms
104.19.60.88:2083#CF优选IP 54ms
104.19.52.138:2083#CF优选IP 54ms
104.18.169.106:2083#CF优选IP 55ms
104.18.83.70:2083#CF优选IP 55ms
104.19.218.19:2083#CF优选IP 55ms
104.17.210.249:2083#CF优选IP 55ms
104.19.43.192:2083#CF优选IP 55ms
104.17.172.61:2083#CF优选IP 56ms
104.17.49.36:2083#CF优选IP 57ms
104.17.104.225:2083#CF优选IP 57ms
104.17.59.249:2083#CF优选IP 57ms
104.17.167.226:2083#CF优选IP 59ms
104.19.208.79:2083#CF优选IP 61ms
104.18.35.46:2083#CF优选IP 61ms
104.17.112.210:2083#CF优选IP 61ms
104.19.215.123:2083#CF优选IP 61ms
104.17.26.8:2083#CF优选IP 62ms
104.17.18.193:2083#CF优选IP 62ms
104.18.225.170:2083#CF优选IP 63ms
104.17.217.200:2083#CF优选IP 63ms
104.17.48.191:2083#CF优选IP 63ms
104.17.29.175:2083#CF优选IP 63ms
104.17.133.184:2083#CF优选IP 64ms
104.18.224.155:2083#CF优选IP 65ms
104.17.140.2:2083#CF优选IP 66ms
104.18.185.114:2083#CF优选IP 66ms
104.19.220.31:2083#CF优选IP 67ms
104.17.128.198:2083#CF优选IP 69ms
104.17.131.42:2083#CF优选IP 69ms
104.18.92.17:2083#CF优选IP 70ms
104.16.153.10:2083#CF优选IP 78ms
104.21.51.79:2083#CF优选IP 91ms
104.17.206.134:2083#CF优选IP 105ms
104.18.190.242:2083#CF优选IP 107ms
104.22.46.68:2083#CF优选IP 109ms
104.25.241.141:2083#CF优选IP 111ms
104.17.207.49:2083#CF优选IP 113ms
104.18.164.200:2083#CF优选IP 114ms
104.22.47.70:2083#CF优选IP 114ms
172.67.180.102:2083#CF优选IP 114ms
104.22.43.171:2083#CF优选IP 114ms
104.19.217.117:2083#CF优选IP 116ms
104.22.37.147:2083#CF优选IP 116ms
104.17.200.222:2083#CF优选IP 117ms
104.18.177.134:2083#CF优选IP 118ms
104.18.226.40:2083#CF优选IP 119ms
104.17.200.99:2083#CF优选IP 119ms
104.22.45.30:2083#CF优选IP 119ms
104.18.180.82:2083#CF优选IP 120ms
104.19.213.210:2083#CF优选IP 121ms
104.19.219.252:2083#CF优选IP 121ms
104.18.187.15:2083#CF优选IP 122ms
104.18.73.121:2083#CF优选IP 122ms
162.159.130.57:2083#CF优选IP 122ms
104.17.198.143:2083#CF优选IP 122ms
104.18.75.211:2083#CF优选IP 124ms
104.18.190.249:2083#CF优选IP 125ms
104.18.77.202:2083#CF优选IP 126ms
104.25.255.68:2083#CF优选IP 126ms
104.18.233.58:2083#CF优选IP 126ms
162.159.42.62:2083#CF优选IP 138ms
104.17.128.254:2083#CF优选IP 141ms
162.159.130.203:2083#CF优选IP 142ms
104.17.198.226:2083#CF优选IP 143ms
162.159.143.104:2083#CF优选IP 154ms
104.17.237.112:2083#CF优选IP 159ms
104.16.58.26:2083#CF优选IP 165ms
104.17.238.32:2083#CF优选IP 165ms
104.16.13.72:2083#CF优选IP 165ms
104.16.51.81:2083#CF优选IP 166ms
104.16.60.14:2083#CF优选IP 167ms
104.16.44.53:2083#CF优选IP 168ms
104.19.168.6:2083#CF优选IP 168ms
104.16.75.55:2083#CF优选IP 174ms
104.16.190.107:2083#CF优选IP 175ms
104.16.180.28:2083#CF优选IP 176ms
104.16.226.80:2083#CF优选IP 176ms
104.18.253.18:2083#CF优选IP 177ms
104.20.2.76:2083#CF优选IP 177ms
104.18.208.121:2083#CF优选IP 178ms
104.25.217.34:2083#CF优选IP 178ms
104.16.93.49:2083#CF优选IP 178ms
104.18.250.233:2083#CF优选IP 178ms
104.18.171.231:2083#CF优选IP 179ms
104.17.86.241:2083#CF优选IP 180ms
104.25.52.42:2083#CF优选IP 180ms
104.19.246.42:2083#CF优选IP 180ms
104.16.206.231:2083#CF优选IP 180ms
104.16.125.30:2083#CF优选IP 181ms
172.66.130.18:2083#CF优选IP 181ms
104.16.220.42:2083#CF优选IP 182ms
